Test Case ID,DateTime,Duration (sec),Input Address,Actual Returned Address,Latitude,Longitude,PCode,Result Format OK?,Missing Fields,Error Type (if any),Exception/Traceback,Test Outcome,Notes,
TC_0001,8/8/2025 18:34,0.12,အမှတ်(၁၀၃) ၊ လမ်း(၄၀) ၊ ကုန်သည်လမ်းနှင့် မဟာဗန္ဓုလလမ်းကြား ၊ ကျောက်တံတားမြို့နယ်၊ ရန်ကုန်မြို့,ကျောက်တံတား၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7750112,96.1589954,MMR013033,All fields present,None,No error,,Sanity check: Pass,,
TC_0002,8/8/2025 18:34,0.07,သုမင်္ဂလာလမ်းနှင့် သုမနလမ်းထောင့်၊ (၁၆/၄)ရပ်ကွက်၊ သင်္ဃန်းကျွန်းမြို့နယ်၊  ရန်ကုန်မြို့,သင်္ဃန်းကျွန်း၊ ရန်ကုန်(အရှေ့ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8170491,96.1973871,MMR013009,All fields present,None,No error,,Sanity check: Pass,,
TC_0003,8/8/2025 18:34,0.062,အမှတ်(၇၄)၊ အရှေ့ရွှေဂုံတိုင်လမ်း၊ ကမ္ဘောဇဘဏ်ရှေ့၊ ဗဟန်းမြို့နယ်၊  ရန်ကုန်မြို့,ဗဟန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8025814,96.1618765,MMR013044,All fields present,None,No error,,Sanity check: Pass,,
TC_0004,8/8/2025 18:34,0.062,အလုံအိတ်ချိန်းဝင်း၊ အမှတ်(၈၃၉/၈၄၁)၊ ဗိုလ်ချုပ်လမ်း၊ လမ်းမတော်မြို့နယ်၊ ရန်ကုန်မြို့,လမ်းမတော်၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.6760496,96.1444661,MMR013035,All fields present,None,No error,,Sanity check: Pass,,
TC_0005,8/8/2025 18:34,0.059,ဗိုလ်ဆွန်ပက်လမ်းနှင့် မဟာဗန္ဓုလလမ်းထောင့်၊ ဆူးလေဘုရားအနီး၊ ပန်းဘဲတန်းမြို့နယ်၊ ရန်ကုန်မြို့,ပန်းဘဲတန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7729671,96.1536927,MMR013034,All fields present,None,No error,,Sanity check: Pass,,
TC_0006,8/8/2025 18:34,0.061,ပန်းဆိုးတန်းကြေးနန်းရုံး၊ မဟာဗန္ဓုလလမ်းနှင့် ပန်းဆိုးတန်းလမ်းထောင့်၊ ကျောက်တံတားမြို့နယ်၊ ရန်ကုန်မြို့,ကျောက်တံတား၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7750112,96.1589954,MMR013033,All fields present,None,No error,,Sanity check: Pass,,
TC_0007,8/8/2025 18:34,0.061,မရမ်းကုန်းအိတ်ချိန်းဝင်း၊ ကမ္ဘာအေးဘုရားလမ်း၊ (၈)မိုင်ပန်းခြံအနီး၊ မရမ်းကုန်းမြို့နယ်၊ ရန်ကုန်မြို့,မရမ်းကုန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.832133,96.126855,MMR013042,All fields present,None,No error,,Sanity check: Pass,,
TC_0008,8/8/2025 18:34,0.062,ဝေဠုဝန်အိတ်ချိန်း၀င်း ၊ အမှတ်(၂၄၃) ၊ ဟံသာဝတီလမ်း၊ ဝေဠုဝန်(မြောက်)ရပ်ကွက်၊ ၊ စမ်းချောင်းမြို့နယ်၊ ရန်ကုန်မြို့,စမ်းချောင်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7994529,96.1311779,MMR013039,All fields present,None,No error,,Sanity check: Pass,,
TC_0009,8/8/2025 18:34,0.06,ဗဟန်းအိတ်ချိန်းဝင်း၊ အမှတ်(၁၀၃)၊ ဗညားဒလလမ်း၊ ဘိုချို(၂)ရပ်ကွက်၊ ဗဟန်းမြို့နယ်၊ ရန်ကုန်မြို့,ဗဟန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8025814,96.1618765,MMR013044,All fields present,None,No error,,Sanity check: Pass,,
TC_0010,8/8/2025 18:34,0.059,​​ကျောက်စိမ်းလမ်းနှင့် ၅လမ်းထောင့်၊ စော်ဘွားကြီးကုန်းပွဲရုံ၊ အင်းစိန်မြို့နယ်၊ ရန်ကုန်မြို့,အင်းစိန်၊ ရန်ကုန်(မြောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.9150759,96.092849,MMR013001,All fields present,None,No error,,Sanity check: Pass,,
